Question,Option A,Option B,Option C,Option D,Correct Answer
The efficiency of electrocatalysts is intimately dependent on what characteristics?,Time-of-flight mass spectrometry results,Geometrical parameters,Precursor toxicity,The flow rate of purge gas,Option B
What property of surface coatings are PVD and CVD largely used to achieve?,Atomic-level thickness control,Perfect layer-by-layer deposition,Excellent microstructure,Digital thickness control,Option C
What property of catalysts is limited in its preciseness by conventional methods like wet-chemical synthesis and CVD?,Robustness,Easy separation,Geometry,Chemical resistance,Option C
"In a recent ALD-prepared electrocatalyst for water-splitting, which precursor was used for MoS₂ deposition?",Pd(hfac)₂,FeCp₂,MeCpPtMe₃,MoCl₅,Option D
Which ALD precursor/reactant system was used to prepare the Pt@N-Co₃O₄ electrocatalyst for HER?,MoCl₅//H₂S,MeCpPtMe₃//O₃,Pd(C₅HF₆O₂)₂//Formalin,Co(iPr₂-AMD)₂//Amine,Option B
What was the ALD deposition temperature used for the Pt nanocluster/TiO₂NTs@3D-Ti electrode?,220°C,280°C,300°C,350°C,Option C
Which of the following is a characteristic that makes metal nitride materials advantageous for electrocatalysis?,High deposition temperature requirement,Good electrical conductivity,Poor chemical stability,Low mechanical strength,Option B
The document states that the ALD technique can facilitate overcoming what issues related to diverse heterogeneous catalysts for energy applications?,Their high cost,Their limitations,Their robust nature,Their easy separation,Option B
"In Spatial ALD (SALD), the deposition rate is *not* limited by which factor?",Substrate transition time,Precursor saturation time,Individual cycle times,Purge gas flow rate,Option C
What percentage of global industrial catalytic processes utilize enzymatic catalysis?,0.8,0.17,0.5,0.03,Option D
"In the ALD growth of Al₂O₃, the H₂O reactant reacts with the functional groups to produce which byproduct?",H₂O,CO₂,HCl,CH₄,Option D
"What does ALD provide precise control over by the number of ALD cycles, besides thickness and composition?",Plasma excitation,The deposition temperature,Uniformity and conformal coverage,Precursor flow rate,Option C
"What is one method, other than ion exchange and wet-impregnation, listed as a conventional wet-chemical method for catalyst synthesis?",Host-guest strategy,Deposition-precipitation,Chemical reduction,Strong electrostatic adsorption,Option B
What is a major concern mentioned regarding the heterogeneity and complexity of heterogeneous catalysts' atomic and chemical structures?,Precursor cost,Film density,Catalytic efficiency evaluation,Substrate etching,Option C
"The complexity of heterogeneous catalysts is increased by defects such as vacancies, kinks, atomic steps, stacking faults, and what other type of boundary?",Grain boundaries,Twin boundaries,Phase boundaries,Support boundaries,Option B
The determination of the 'active center' of a heterogeneous catalyst is described as a what kind of task?,Simple task,Routine task,Formidable task,Automated task,Option C
What method is described as difficult for reducing the size of NPs and controlling the number of metal atoms in nanoclusters due to hard control of the aggregation process?,Atomic Layer Deposition (ALD),Spatial ALD (SALD),Conventional wet-chemical methods,Fluidized Bed Reactor-ALD (FBR-ALD),Option C
The catalytic performance of heterogeneous catalysts is dependent on their interfacial properties in addition to which other factor?,Color,Mass,Size,Volume,Option C
What material is typically used as a support for supported metal particles in heterogeneous electrocatalysis?,Carbon material,Oxide material,Polymer material,Metal nitride material,Option A
"What type of structures in the metal/oxide interface arise from polarization, hybridization, and charge transfer?",Simple bulk structures,Disordered crystal structures,Unique and complicated electronic states,Uniform planar layers,Option C
"A small modification in the interface causes a significant difference in the material properties of the catalysts, leading to a difference in what outcome?",Precursor cost,Catalytic performance,Reactor maintenance,Purge gas purity,Option B
"ALD provides a diverse range of materials deposition including metals, metal oxides, nitrides, sulfides, and which other two types of films?",Ceramics and glasses,Semiconductors and insulators,Polymers and inorganic-organic hybrid films,Alloys and composites,Option C
"To process thermally sensitive substrates and precursors, which ALD technique is often utilized to overcome high temperature limitations?",Thermal-ALD,PEALD,EA-ALD,Batch-ALD,Option B
"In high aspect ratio structures, radicals in PEALD lose reactivity before reaching the bottom, leading to decreased what?",Temperature,Pressure,Conformality,Throughput,Option C
"The applied electric field in EA-ALD increases the collision and adsorption rates of precursor molecules, resulting in higher what during the initial ALD step?",Deposition temperature,Purge time,Nucleation density,Byproduct formation,Option C
"In SALD, the substrate is continuously exposed to precursor and reactant gases as it moves between what?",A single chamber,A liquid solvent bath,Physically separated zones,A high-pressure furnace,Option C
Batch-ALD is ideal for industrial-scale applications of thin film deposition for what two specific uses listed?,Automobile exhaust treatment and biomass conversion,Solar cell layers and transparent conductive oxides,Water-splitting and fuel cells,Supercapacitors and batteries,Option B
What is used in FBR-ALD to achieve uniform distribution of precursor gases over the surface of individual particles?,A showerhead type reactor,A fluidized bed reactor,A single wafer system,A roll-to-roll system,Option B
MLD utilizes organic precursors containing what that react with the substrate?,Inert gases,Noble metals,Functional groups,Alkyl halides,Option C
"In ALD for oxides, after precursor injection and purge, the hydroxyl functional groups on the substrate surface facilitate what kind of reaction?",Hydrothermal reaction,Ligand exchange reaction,Pyrolysis,Sintering,Option B
Which element is represented by a red sphere in the schematic for the Al₂O₃ ALD growth process (Figure 3)?,Oxygen (O),Carbon (C),Aluminum (Al),Hydrogen (H),Option C
Which element is represented by a yellow sphere in the schematic for the Al₂O₃ ALD growth process (Figure 3)?,Aluminum (Al),Carbon (C),Oxygen (O),Hydrogen (H),Option C
Which element is represented by a dark grey sphere in the schematic for the Al₂O₃ ALD growth process (Figure 3)?,Aluminum (Al),Oxygen (O),Carbon (C),Hydrogen (H),Option C
Which element is represented by a light grey sphere in the schematic for the Al₂O₃ ALD growth process (Figure 3)?,Aluminum (Al),Oxygen (O),Carbon (C),Hydrogen (H),Option D
What is an example of a metal-organic compound precursor used in Thermal ALD?,TiCl₄,Al(OEt)₃,Pt(acac)₂,Cp₂Ni,Option C
"What is an example of a metal alkoxide precursor used in Thermal ALD, besides Al(OEt)₃?",SnCl₄,Ti(OEt)₄,Pt(acac)₂,Cp₂Ni,Option B
The reactants in Thermal ALD include which sulfur-containing gas?,SO₂,SF₆,H₂S,CS₂,Option C
PEALD uses reactants that are activated by what process?,Thermal energy,Electric potential,Plasma,Laser,Option C
The applied electric potential in EA-ALD is used to enhance the adsorption of which molecules?,Inert gas molecules,Reactant molecules,Precursor molecules,Byproduct molecules,Option C
SALD employs spatially separated zones for which two components?,Substrate and heater,Inert gas and vacuum,Precursor and reactant,Plasma and electric field,Option C
The deposition rate in SALD is not limited by individual cycle times but is determined by the time required for the substrate to transition between what?,Purge steps,Heater zones,Reaction zones,Vacuum chambers,Option C
What is the deposition temperature of the $\mathrm{Pd} / \mathrm{Carbon}$ nanofiber/ $\mathrm{Ni} / \mathrm{NiO}$ electrocatalyst for $\mathrm{OER}$?,$300^{\circ} \mathrm{C}$,$350^{\circ} \mathrm{C}$,$220^{\circ} \mathrm{C}$,$260^{\circ} \mathrm{C}$,Option C
The electrocatalyst $\mathrm{NiOx} @ \mathrm{Co}_{3} \mathrm{O}_{4}$ on Carbon cloth for OER utilized plasma-enhanced ALD at which temperature?,$220^{\circ} \mathrm{C}$,$300^{\circ} \mathrm{C}$,$260^{\circ} \mathrm{C}$,$350^{\circ} \mathrm{C}$,Option C
