Question,Option A,Option B,Option C,Option D,Correct Answer
Why is a $\mathrm{H_2}$ plasma exposure included in the TSD supercycle after $\mathrm{aC}$ deposition?,To etch the $\mathrm{aC}$ layer,To increase the $\mathrm{aC}$ film's conductivity,To passivate $\mathrm{aC}$ surface dangling bonds,To crystallize the $\mathrm{aC}$ layer,Option C
What is the purpose of the $\mathrm{O_2}$ plasma step in the TSD supercycle?,To deposit the $\mathrm{TiO_2}$ target material,To remove the $\mathrm{aC}$ inhibition layer,To passivate the trench sidewalls,To increase the $\mathrm{aC}$ density,Option B
How many $\mathrm{TiO_2}$ $\mathrm{ALD}$ cycles were performed in a single TSD supercycle in this study?,5 cycles,10 cycles,20 cycles,100 cycles,Option B
How many total TSD supercycles were repeated to achieve the desired $\mathrm{TiO_2}$ thickness?,5 times,8 times,12 times,20 times,Option C
"What was the final thickness of the $\mathrm{TiO_2}$ selectively deposited in the trench, as measured by $\mathrm{TEM}$?",$0.1 \pm 0.02 \mathrm{~nm}$,$1.0 \pm 0.1 \mathrm{~nm}$,$3.0 \pm 0.1 \mathrm{~nm}$,$8.2 \pm 0.2 \mathrm{~nm}$,Option C
What was the resulting selectivity of the complete TSD process (in-trench $\mathrm{TiO_2}$ vs. top $\mathrm{TiO_2}$ accumulation)?,$80\%$,$90\%$,$94\%$,$100\%$,Option C
The accumulation of $\mathrm{TiO_2}$ on the horizontal top surface after 12 supercycles was measured to be approximately:,$3.0 \mathrm{~nm}$,$0.8 \mathrm{~nm}$,$0.10 \mathrm{~nm}$,$8.2 \mathrm{~nm}$,Option C
The TSD supercycle approach is necessary because $\mathrm{TiO_2}$ ALD on $\mathrm{aC}$ eventually leads to:,Crystallization,Defect formation ($\mathrm{TiO_2}$ nuclei),$\mathrm{aC}$ removal,Film cracking,Option B
What technique was used for in situ monitoring of the $\mathrm{aC}$ and $\mathrm{TiO_2}$ layer thickness on a planar sample?,Scanning Electron Microscopy ($\mathrm{SEM}$),Transmission Electron Microscopy ($\mathrm{TEM}$),Spectroscopic Ellipsometry,X-ray Photoelectron Spectroscopy ($\mathrm{XPS}$),Option C
The $\mathrm{aC}$ inhibition layer is removed and reapplied in a supercycle recipe to suppress the deposition of $\mathrm{TiO_2}$ on what surface?,The bottom of the trench,The sidewalls of the trench,The top of the trench,The $\mathrm{SiO_2}$ substrate,Option C
The TSD process has useful applications in the semiconductor industry for fabricating what types of structures?,Planar transistors,Ohmic contacts,Trench capacitors and trench gates,High-k gate dielectrics on planar surfaces,Option C
The $\mathrm{aC}$ deposition uses an $\mathrm{Ar/CH_4}$ plasma. What radical is critical for $\mathrm{aC}$ growth by reacting with ion-generated dangling bonds?,$\mathrm{Ar}$ radical,$\mathrm{H}$ radical,Methyl radical ($\mathrm{CH_3}$),$\mathrm{C}$ radical,Option C
What is the maximum thickness of selective $\mathrm{TiO_2}$ growth on a $\mathrm{SiO_2}$ substrate for which selectivity above $90\%$ was maintained in the initial 20 $\mathrm{ALD}$ cycles?,$0.1 \mathrm{~nm}$,$0.8 \mathrm{~nm}$,$1.5 \mathrm{~nm}$,$3.0 \mathrm{~nm}$,Option B
What layer was used to cap the 3D nanostructures to preserve the relevant interfaces during $\mathrm{TEM}$ cross-section preparation?,$30 \mathrm{~nm}$ of $\mathrm{Al_2O_3}$,$50 \mathrm{~nm}$ of $\mathrm{SiO_2}$,$10 \mathrm{~nm}$ of $\mathrm{Pt}$,$5 \mathrm{~nm}$ of $\mathrm{TiO_2}$,Option A
What is the reported aC deposition rate per $\mathrm{PE-CVD}$ cycle in this study?,$0.01 \mathrm{~nm/cycle}$,$0.082 \mathrm{~nm/cycle}$,$0.15 \mathrm{~nm/cycle}$,$0.49 \mathrm{~nm/cycle}$,Option B
The $\mathrm{H_2}$ plasma treatment slightly etched the $\mathrm{aC}$ layer at a rate of approximately:,$0.005 \mathrm{~nm/s}$,$0.028 \mathrm{~nm/s}$,$0.10 \mathrm{~nm/s}$,$0.49 \mathrm{~nm/s}$,Option B
What was the etching rate of the $\mathrm{aC}$ inhibition layer during the $\mathrm{O_2}$ plasma treatment step?,$0.082 \mathrm{~nm/s}$,$0.22 \mathrm{~nm/s}$,$0.49 \mathrm{~nm/s}$,$0.98 \mathrm{~nm/s}$,Option C
The supercycle process was performed at a substrate temperature of:,$50^{\circ} \mathrm{C}$,$110^{\circ} \mathrm{C}$,$200^{\circ} \mathrm{C}$,$300^{\circ} \mathrm{C}$,Option B
The phenomenon that causes $\mathrm{TiO_2}$ thickness to taper off nearer to the opening of the trench is likely due to:,$\mathrm{H_2O}$ precursor depletion,$\mathrm{aC}$ deposition on the inclined sidewall,TDMAT precursor diffusion limit,$\mathrm{O_2}$ plasma etching inside the trench,Option B
$\mathrm{TSD}$ is emerging as an alternative to $\mathrm{ASD}$ when:,The desired material is $\mathrm{TiO_2}$,There are only planar surfaces,Chemical differences between surfaces are too small or too many materials are present,The deposition temperature is too high,Option C
What does the term 'h-TSD' refer to in the context of Topographically Selective Deposition?,Selective deposition on highly-doped surfaces,Selective deposition on horizontally oriented surfaces,Selective deposition on high-aspect ratio structures,Selective deposition on helical structures,Option B
The $\mathrm{TiO_2}$ $\mathrm{ALD}$ recipe used a TDMAT dose time of:,$20 \mathrm{~ms}$,$1.5 \mathrm{~s}$,$10 \mathrm{~s}$,$32 \mathrm{~s}$,Option B
The $\mathrm{TiO_2}$ $\mathrm{ALD}$ recipe used an $\mathrm{H_2O}$ dose time of:,$20 \mathrm{~ms}$,$1.5 \mathrm{~s}$,$10 \mathrm{~s}$,$32 \mathrm{~s}$,Option A
The selective deposition of $\mathrm{aC}$ only occurs at the horizontal top surface because $\mathrm{aC}$ growth requires sufficiently high fluxes of:,$\mathrm{H_2O}$ and $\mathrm{O_2}$,Ions and methyl radicals,TDMAT and $\mathrm{H_2O}$,$\mathrm{Ar}$ and $\mathrm{H_2}$,Option B
"Due to the lack of ion bombardment, $\mathrm{aC}$ deposition does not occur on which surfaces of the trench?",The bottom of the trench,The horizontal top surface,The sidewalls of the trench,The $\mathrm{SiO_2}$ substrate,Option C
The buildup of $\mathrm{TiO_2}$ on the horizontal top surface after each supercycle is a result of:,Residual $\mathrm{aC}$ left on the surface,$\mathrm{TiO_2}$ defects that formed on the $\mathrm{aC}$ accumulating after its removal,$\mathrm{H_2O}$ precursor decomposition,Direct reaction between TDMAT and the $\mathrm{SiO_2}$ substrate,Option B
The TSD supercycle approach is designed to overcome what limitation of single-cycle selective deposition?,Slow deposition rate,High temperature,Limited thickness growth due to defect formation (nucleation delay),Poor conformality,Option C
What analytical technique was used to obtain the cross-sectional images and elemental mappings of the 3D nanostructures?,X-ray Diffraction ($\mathrm{XRD}$),Scanning Electron Microscopy ($\mathrm{SEM}$),Transmission Electron Microscopy ($\mathrm{TEM}$) with $\mathrm{EDS}$,Atomic Force Microscopy ($\mathrm{AFM}$),Option C
"In the EDS elemental mapping (Fig. 5), what element is shown in yellow for the $\mathrm{aC}$ deposition only sample?",$\mathrm{Si}$,$\mathrm{Al}$,$\mathrm{C}$,$\mathrm{Ti}$,Option C
What gas was used for the $\mathrm{aC}$ $\mathrm{PE-CVD}$ process?,$\mathrm{O_2}$,$\mathrm{H_2}$,$\mathrm{Ar/CH_4}$,$\mathrm{H_2O}$ vapor,Option C
The ion bombardment in the $\mathrm{PE-CVD}$ of $\mathrm{aC}$ is primarily responsible for generating what on the $\mathrm{aC}$ surface?,$\mathrm{OH}$ groups,Dangling bonds,$\mathrm{CH_4}$ gas,$\mathrm{O_2}$ ions,Option B
The trench-only TSD method is expected to be applicable to high aspect ratio trenches and vias because:,The $\mathrm{ALD}$ process is highly conformal,The $\mathrm{aC}$ deposition would become even more selective due to flux limitations,$\mathrm{TiO_2}$ deposition is faster in narrow features,The $\mathrm{O_2}$ plasma etching is more effective in narrow features,Option B
"What effect does the $\mathrm{H_2}$ plasma treatment have on the $\mathrm{aC}$ layer thickness, as measured by ellipsometry?",It increases the thickness significantly,It slightly etches the $\mathrm{aC}$ layer,It has no effect on thickness,It causes the $\mathrm{aC}$ to become denser,Option B
"What material is the 3D nanostructured sample made of, upon which the $\mathrm{aC}$ was deposited and $\mathrm{TiO_2}$ was grown?",$\mathrm{SiC}$,$\mathrm{Al_2O_3}$,$\mathrm{SiO_2}$ (thermal),$\mathrm{Si_3N_4}$,Option C
"In the schematic of the trench-only $\mathrm{TSD}$ process (Fig. 1), what material is represented by the red color in the second step?",$\mathrm{aC}$,$\mathrm{SiO_2}$,$\mathrm{TiO_2}$,$\mathrm{Al_2O_3}$,Option C
The initial graph (Fig. 2) shows a significant **nucleation delay** of $\mathrm{TiO_2}$ on what surface?,$\mathrm{SiO_2}$,$\mathrm{aC}$,$\mathrm{Al_2O_3}$,$\mathrm{Si}$,Option B
"The core manufacturing challenge addressed by this work, particularly in 3D architectures, is:",Poor electrical conductivity,Difficulty in achieving alignment between different layers,High cost of materials,Slow deposition rates,Option B
What pressure was used for the $\mathrm{O_2}$ plasma $\mathrm{aC}$ removal step in the TSD supercycle?,$0.22 \mathrm{~mbar}$,$0.02 \mathrm{~mbar}$,$1.0 \mathrm{~mbar}$,$10 \mathrm{~mbar}$,Option B
The ion bombardment is a key enabling factor for the $\mathrm{aC}$ growth because it increases the sticking probability of methyl radicals on the $\mathrm{aC}$ surface via the creation of:,Hydrogenated sites,Hydroxyl groups,Dangling bonds,$\mathrm{C=O}$ bonds,Option C
"If the trench opening becomes narrower, the deposition of the $\mathrm{aC}$ layer is expected to become:",Less selective,More selective,Faster,Slower,Option B
The $\mathrm{TiO_2}$ ALD process used in this work falls into which $\mathrm{ALD}$ category?,Plasma-Enhanced $\mathrm{ALD}$,Thermal $\mathrm{ALD}$,Liquid-Phase $\mathrm{ALD}$,Photo-Assisted $\mathrm{ALD}$,Option B
The continuous deposition of the aC layer during the supercycle process resulted in a thickness of approximately:,$0.1 \mathrm{~nm}$,$3.0 \mathrm{~nm}$,$6.8 \mathrm{~nm}$,$8.2 \mathrm{~nm}$,Option D
The TSD process relies on exploiting the directional nature of what bombardment from a plasma to distinguish horizontal and vertical surfaces?,Electron,Neutron,Photon,Ion,Option D
The $\mathrm{aC}$ layer applied selectively on the top surface is intended to inhibit the $\mathrm{ALD}$ growth of the target material where?,Within the trench,On the sidewalls only,On the top surface of the trench,At the bottom of the trench,Option C
The $\mathrm{H_2}$ plasma treatment performed for $\mathrm{aC}$ passivation was applied for a duration of:,$10 \mathrm{~s}$,$20 \mathrm{~s}$,$50 \mathrm{~s}$,$100 \mathrm{~s}$,Option C
The $\mathrm{O_2}$ plasma treatment for $\mathrm{aC}$ removal was applied for a duration of:,$10 \mathrm{~s}$,$20 \mathrm{~s}$,$50 \mathrm{~s}$,$100 \mathrm{~s}$,Option C
What does the acronym $\mathrm{PE-CVD}$ stand for in the context of $\mathrm{aC}$ deposition?,Partial Etching - Chemical Vapor Deposition,Plasma-Enhanced - Chemical Vapor Deposition,Pressure-Equilibrium - Chemical Vapor Deposition,Photo-Enhanced - Chemical Vapor Deposition,Option B
The buildup of $\mathrm{TiO_2}$ defects on the horizontal surface after 12 supercycles resulted in an average accumulation of $0.10 \pm 0.02 \mathrm{~nm}$. This quantity is a measure of the TSD process's:,Rate capability,Conformality,Selectivity loss,Thermal stability,Option C
The authors suggest that reducing the tapering of sidewalls would have what effect on the $\mathrm{aC}$ deposition?,It would increase $\mathrm{aC}$ deposition on the sidewalls,It would restrict $\mathrm{aC}$ deposition to the top of the trench,It would increase $\mathrm{aC}$ deposition at the bottom of the trench,It would have no effect,Option B
The core idea of the second category of $\mathrm{TSD}$ methods is that material is:,Deposited everywhere and then selectively etched,Deposited selectively on either horizontally or vertically oriented surfaces,Removed only from horizontal surfaces,Removed only from vertical surfaces,Option B
The density of what surface groups is key to the $\mathrm{H_2O}$-based $\mathrm{ALD}$ growth rate on a surface?,$\mathrm{CH_3}$ groups,$\mathrm{O}^{*}$ (oxy-radicals),$\mathrm{OH}$ groups,$\mathrm{Al}$ atoms,Option C
What is the function of the $\mathrm{H_2}$ plasma in the $\mathrm{TSD}$ supercycle?,To remove the $\mathrm{aC}$ layer,To enhance the selectivity by deactivating the $\mathrm{aC}$ layer,To increase the thickness of the $\mathrm{TiO_2}$,To make the $\mathrm{aC}$ conductive,Option B
The $\mathrm{TiO_2}$ thickness deposited on $\mathrm{SiO_2}$ increased linearly after $\sim 20$ $\mathrm{ALD}$ cycles. This initial slow growth phase is referred to as:,Saturation regime,Steady-state growth,Nucleation delay,Diffusion limitation,Option C
The deposition of the $\mathrm{aC}$ layer at the bottom of the trench is limited by the lower flux of what species?,$\mathrm{H_2O}$ and $\mathrm{O_2}$,Ions and methyl radicals,TDMAT and $\mathrm{H_2O}$,$\mathrm{Ar}$ and $\mathrm{H_2}$,Option B
What model was utilized to model the accumulation of $\mathrm{TiO_2}$ after the $\mathrm{aC}$ removal using spectroscopic ellipsometry?,Lorentz model,Drude model,Cauchy model,Sellmeier model,Option C
The initial $\mathrm{aC}$ deposition thickness in each supercycle was approximately:,$1 \mathrm{~nm}$,$3 \mathrm{~nm}$,$6 \mathrm{~nm}$,$8 \mathrm{~nm}$,Option D
The study employed the use of $\mathrm{ALD}$ to deposit $\mathrm{TiO_2}$. $\mathrm{ALD}$ is a technique known for its ability to achieve:,Low conformality,High conformality and atomic-level thickness control,High throughput,High deposition temperature,Option B
What are the two components of the ion-radical synergy required for $\mathrm{aC}$ deposition?,Temperature and pressure,Ions and $\mathrm{CH_4}$ gas,Ions and methyl radicals,$\mathrm{Ar}$ and $\mathrm{O_2}$ plasma,Option C
A $\mathrm{CF_x}$ film prepared by ion implantation was previously used to deactivate what oriented surfaces for $\mathrm{ALD}$ in a related TSD approach?,Vertically oriented sidewalls,Horizontally oriented surfaces,Bottom of the trench,Top of the trench,Option B
"In the TSD supercycle, what immediately follows the $\mathrm{aC}$ deposition step?",$\mathrm{O_2}$ plasma removal,$\mathrm{TiO_2}$ $\mathrm{ALD}$,$\mathrm{H_2}$ plasma passivation,$\mathrm{H_2O}$ co-reactant dose,Option C
The planar $\mathrm{SiO_2}$ sample used for ellipsometry was placed where relative to the 3D nanostructured sample in the reactor?,In a separate chamber,Next to the 3D nanostructured sample,On top of the 3D nanostructured sample,It was the same sample,Option B
The $\mathrm{O_2}$ plasma used for $\mathrm{aC}$ removal was operated at a power of:,$100 \mathrm{~W}$,$200 \mathrm{~W}$,$400 \mathrm{~W}$,$600 \mathrm{~W}$,Option B
The deposition of the $\mathrm{aC}$ layer is specifically leveraged to selectively deactivate surfaces based on their:,Chemical composition,Conductivity,Orientation,Purity,Option C
The study suggests that the presented trench-only TSD process should be applicable to structures with aspect ratios of:,Less than 1.0,Exactly 1.0,Greater than or equal to 1.6,Exactly 5.0,Option C
The formation of the rock-salt phase on $\mathrm{NCM83}$ leads to capacity fade because it is:,Highly conductive,Electrically insulating and blocks $\mathrm{Li}^{+}$ transport,Highly porous,Chemically inert,Option B
The accumulation of $\mathrm{TiO_2}$ on the top surface is modeled using what specific optical model for $\mathrm{TiO_2}$?,$\mathrm{Al_2O_3}$ Cauchy model,$\mathrm{TiO_2}$ Cauchy model,$\mathrm{aC}$ b-spline model,$\mathrm{SiO_2}$ Lorentz model,Option B
What is the precursor used for the aluminum source in both $\mathrm{H_2O}$-based and $\mathrm{O_3}$-based $\mathrm{ALD}$?,$\mathrm{AlCl_3}$,Diethylaluminum ethoxide (DEAE),Trimethylaluminum (TMA),Aluminum isopropoxide,Option C
"In the EDS elemental mapping (Fig. 5), the $\mathrm{TiO_2}$ is primarily seen where?",On the top surface of the trench,On the sidewalls and bottom of the trench,Only at the very bottom of the trench,Only on the $\mathrm{Si}$ substrate,Option B
What element is represented by the red color in the EDS mapping for the full TSD process (Fig. 5D)?,$\mathrm{Si}$,$\mathrm{Al}$,$\mathrm{Ti}$,$\mathrm{C}$,Option C
"Compared to $\mathrm{H_2O}$-based $\mathrm{ALD}$, $\mathrm{O_3}$-based $\mathrm{ALD}$ is known to produce films with:",Lower density and poor uniformity,Higher density and lower carbon impurities,Higher carbon impurities and poor stability,A faster deposition rate,Option B
The $\mathrm{H_2}$ plasma treatment performed for $\mathrm{aC}$ passivation was operated at a pressure of:,$0.02 \mathrm{~mbar}$,$0.22 \mathrm{~mbar}$,$1.0 \mathrm{~mbar}$,$10 \mathrm{~mbar}$,Option B
The $\mathrm{O_2}$ plasma treatment for $\mathrm{aC}$ removal was performed at a pressure of:,$0.22 \mathrm{~mbar}$,$0.02 \mathrm{~mbar}$,$1.0 \mathrm{~mbar}$,$10 \mathrm{~mbar}$,Option B
The TSD supercycle is repeated until what condition is met?,The $\mathrm{aC}$ layer is completely removed,Sufficient material has been deposited selectively in the trench,The selectivity drops below $90\%$,The $\mathrm{H_2}$ plasma is ineffective,Option B
"The initial $\mathrm{aC}$ deposition layer was $8.2 \pm 0.2 \mathrm{~nm}$ thick. After the $\mathrm{H_2}$ plasma treatment, its thickness reduced to approximately:",$1.0 \mathrm{~nm}$,$3.0 \mathrm{~nm}$,$6.8 \mathrm{~nm}$,$8.2 \mathrm{~nm}$,Option C
The ability of $\mathrm{aC}$ to inhibit $\mathrm{ALD}$ is due to its composition being:,Highly crystalline,Hydrocarbon based,Metallic,Highly volatile,Option B
The $\mathrm{O_2}$ plasma is chosen for $\mathrm{aC}$ removal because it:,Is gentle on the $\mathrm{TiO_2}$ layer,Is highly selective toward $\mathrm{aC}$,Is a slow etching process,Is cheap to operate,Option B
"The $3.0 \pm 0.1 \mathrm{~nm}$ of $\mathrm{TiO_2}$ deposited in the trench is considered significant deposition, while $0.10 \pm 0.02 \mathrm{~nm}$ on the top is a measure of:",Uniformity,Selectivity loss,Conformality,Structural degradation,Option B
What does the term 'v-TSD' refer to in the context of Topographically Selective Deposition?,Selective deposition on vacuum-exposed surfaces,Selective deposition on vertically oriented surfaces,Selective deposition on variable-aspect ratio structures,Selective deposition on void structures,Option B
The $\mathrm{aC}$ layer deposition is limited by the lower flux of both ions and methyl radicals in which area of the trench?,The top surface,The sidewalls,The bottom of the trench,The trench opening,Option C
"The selective deposition demonstrated in this work is independent of the chemical character of the substrate, making it a powerful addition to the toolbox for:",Planar devices,3D structured devices,High-temperature processes,Wet chemical processes,Option B
The $\mathrm{Ar/CH_4}$ plasma in the pulsed $\mathrm{PE-CVD}$ scheme is used for the deposition of:,$\mathrm{TiO_2}$,$\mathrm{Al_2O_3}$,$\mathrm{SiO_2}$,Amorphous Carbon ($\mathrm{aC}$),Option D
The TSD supercycle aims to maintain high selectivity by removing the $\mathrm{TiO_2}$ defects formed on the $\mathrm{aC}$ and renewing the:,$\mathrm{TiO_2}$ layer,$\mathrm{SiO_2}$ substrate,$\mathrm{aC}$ inhibition layer,$\mathrm{H_2}$ plasma,Option C
"In the $\mathrm{H_2}$ plasma treatment, the plasma was operated at a power of:",$100 \mathrm{~W}$,$200 \mathrm{~W} \pm 15 \mathrm{~W}$,$400 \mathrm{~W}$,$600 \mathrm{~W}$,Option B
The $\mathrm{TiO_2}$ ALD process utilizes what titanium precursor?,TDMAT,TTIP,$\mathrm{TiCl_4}$,TMA,Option A
The use of a supercycle approach allows for the deposition of a thicker material while still maintaining:,Low cost,High temperature,Selectivity,Fast deposition rate,Option C
The initial $\mathrm{aC}$ layer thickness was designed to be sufficient to sustain what number of $\mathrm{TiO_2}$ $\mathrm{ALD}$ cycles before defects appeared?,5 cycles,10 cycles,20 cycles,100 cycles,Option C
The $\mathrm{H_2}$ plasma step is crucial for $\mathrm{aC}$ passivation because $\mathrm{aC}$ growth requires what to act as nucleation sites for $\mathrm{ALD}$?,$\mathrm{Al}$ atoms,$\mathrm{OH}$ groups,Dangling bonds,$\mathrm{CH_4}$ molecules,Option C
The $\mathrm{TSD}$ method is classified as a 'bottom-up' processing technique due to its ability to enable:,Self-aligned processing schemes,High throughput,Anisotropic etching,Planarization,Option A
"What is the core problem with $\mathrm{Ni}$-rich layered oxides, like $\mathrm{NCM83}$, that $\mathrm{ALD}$ coatings aim to solve?",Low energy density,Poor thermal stability and structural degradation,Low cost of materials,Slow charging kinetics,Option B
The process was monitored on a planar $\mathrm{SiO_2}$ sample. What was the planar $\mathrm{SiO_2}$ sample prepared on?,$\mathrm{Si}$ wafer,Glass substrate,Polymer film,Copper foil,Option A
"The $\mathrm{O_2}$ plasma step is applied for $50 \mathrm{~s}$. Considering the etch rate, why is the duration so long if the $\mathrm{aC}$ is removed in the first $10 \mathrm{~s}$?",To remove $\mathrm{TiO_2}$ from the bottom of the trench,To ensure complete removal of $\mathrm{aC}$ and $\mathrm{TiO_2}$ defects,To etch the $\mathrm{SiO_2}$ substrate,To cool down the substrate,Option B
What does the acronym $\mathrm{EDS}$ stand for in the context of $\mathrm{TEM}$ analysis?,Electron Diffraction Spectroscopy,Energy Dispersive X-ray Spectroscopy,Electron Dynamics Simulation,Electrochemical Degradation Study,Option B
The developed $\mathrm{TSD}$ process is expected to allow for the selective deposition of diverse materials because the selectivity relies on the $\mathrm{aC}$ layer's:,Crystallinity,Inertness toward $\mathrm{ALD}$ chemistry,Electrical conductivity,High etch rate,Option B
"The deposition of the $\mathrm{aC}$ layer proceeds only on the horizontal top surface because the ion bombardment, a key factor for $\mathrm{aC}$ growth, is:",Uniform in all directions,Directional,Limited to the bottom of the trench,Non-existent in the reactor,Option B
The thickness of the $\mathrm{aC}$ layer is modeled by a b-spline parametrization based on what material?,$\mathrm{SiO_2}$,$\mathrm{TiO_2}$,Polyethylene,Polystyrene,Option C
The nucleation of $\mathrm{TiO_2}$ on $\mathrm{aC}$ starts due to the formation of:,$\mathrm{OH}$ groups,Dangling bonds,$\mathrm{Al}$ atoms,$\mathrm{H_2O}$ clusters,Option B
The TSD supercycle recipe includes a $\mathrm{TiO_2}$ $\mathrm{ALD}$ step. What is the role of this step?,To remove the $\mathrm{aC}$ layer,To grow the target material selectively in the trench,To passivate the $\mathrm{aC}$ layer,To etch the trench sidewalls,Option B
What is the aspect ratio of the 3D nanostructure shown in Figures 5(a) and 5(b)?,1,1.6,2.6,5,Option B
What is the aspect ratio of the 3D nanostructure shown in Figures 5(c) and 5(d)?,1,1.6,2.6,5,Option C
The buildup of $\mathrm{TiO_2}$ defects on the horizontal surface after the $\mathrm{O_2}$ plasma step is a result of accumulation of what layer that formed during the $\mathrm{TiO_2}$ $\mathrm{ALD}$ cycles?,$\mathrm{aC}$,$\mathrm{SiO_2}$,$\mathrm{TiO_2}$,$\mathrm{Al_2O_3}$,Option C
The ability to achieve the subnano $\mathrm{Al_2O_3}$ coating is due to which of the following mechanisms?,The initial $\mathrm{ALD}$ growth being nucleation-limited,The use of a very thick coating,The use of a high-temperature process,The use of a liquid precursor,Option A
The TSD supercycle is a modular approach that allows for control over the final deposited material's:,Color,Purity,Thickness,Crystallinity,Option C
The successful $\mathrm{TSD}$ of $\mathrm{TiO_2}$ demonstrates that the $\mathrm{aC}$ inhibition layer can be used to selectively deactivate surfaces based on their:,Mass loading,Orientation,Cost,Volume,Option B
What is the full name of the titanium precursor TDMAT?,Titanium Dimethyl Amide,Tetrakis(dimethylamino)titanium,Titanium Dioxide Methylamide,Titanium Dimethylacetylacetone,Option B
The $\mathrm{aC}$ inhibition layer is applied selectively on the horizontal top surface of the trench because it is the only surface where sufficient what are present?,ALD precursors,Water vapor,Ions and radicals,Hydroxyl groups,Option C
What is the significance of the nucleation delay of $\mathrm{TiO_2}$ on $\mathrm{aC}$?,It limits the total number of $\mathrm{ALD}$ cycles that can be performed,It is not relevant to the process,It indicates that the $\mathrm{aC}$ is not a perfect inhibitor,It ensures the $\mathrm{TiO_2}$ is conductive,Option A
The $\mathrm{TSD}$ approach presented in this work is categorized into which of the two primary $\mathrm{TSD}$ categories?,Methods using selective etching,Methods using direct topographically selective deposition,Methods using lithography,Methods using self-assembly,Option B
The $\mathrm{TiO_2}$ deposition takes place selectively within the trench because the $\mathrm{aC}$ layer is present where?,At the bottom,On the sidewalls,On the horizontal top surface,Everywhere except the bottom,Option C
The presence of a subnano-coating structure on the $\mathrm{NCM83}$ surface helps to maintain what $\mathrm{Li}^{+}$ transport property?,High activation energy,Fast $\mathrm{Li}^{+}$ transport kinetics,Slow $\mathrm{Li}^{+}$ transport kinetics,Low charge transfer resistance,Option B
"The $\mathrm{TiO_2}$ thickness was measured to taper off toward the trench opening, suggesting some $\mathrm{aC}$ deposition may have occurred where?",In the center of the bottom,In the corners of the bottom,On the $\mathrm{SiO_2}$ substrate,On the inclined sidewall,Option D
"The successful selective deposition on the sidewalls and bottom of the trench, with minimal deposition on the top, confirms the importance of controlling the $\mathrm{aC}$ layer's:",Cost,Color,Location and morphology,Purity,Option C
The TDMAT precursor pulse was followed by a pump down step of:,$1.5 \mathrm{~s}$,$10 \mathrm{~s}$,$20 \mathrm{~ms}$,$32 \mathrm{~s}$,Option B
The $\mathrm{H_2O}$ co-reactant pulse was followed by a pump down step of:,$1.5 \mathrm{~s}$,$10 \mathrm{~s}$,$20 \mathrm{~ms}$,$32 \mathrm{~s}$,Option D
"The TSD supercycle includes $10$ $\mathrm{TiO_2}$ $\mathrm{ALD}$ cycles, chosen because defects start to form after approximately what number of cycles, as seen in Fig. 2?",$5$ cycles,$\sim 20$ cycles,$\sim 50$ cycles,$\sim 100$ cycles,Option B
The initial capacity retention of the bare $\mathrm{NCM83}$ at $0.1 \mathrm{C}$ was approximately:,$180 \mathrm{~mAh/g}$,$210 \mathrm{~mAh/g}$,$230 \mathrm{~mAh/g}$,$250 \mathrm{~mAh/g}$,Option C
